#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           16                0.054        0.000        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
GPU 0           20                0.201        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.201        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.204        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.203        0.002        0.000        0.000        0.000        
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           20                0.202        0.002        0.000        0.000        0.000        
