+----------------+----------+------------------------------------------------------+
| Group.Subgroup | Field ID | Field Tag                                            |
+----------------+----------+------------------------------------------------------+
| A.0            | 1001     | gr_engine_active                                     |
| A.0            | 1002     | sm_active                                            |
| A.0            | 1003     | sm_occupancy                                         |
| A.0            | 1004     | tensor_active                                        |
| A.0            | 1005     | dram_active                                          |
| A.0            | 1006     | fp64_active                                          |
| A.0            | 1007     | fp32_active                                          |
| A.0            | 1008     | fp16_active                                          |
| A.0            | 1009     | pcie_tx_bytes                                        |
| A.0            | 1010     | pcie_rx_bytes                                        |
| A.0            | 1011     | nvlink_tx_bytes                                      |
| A.0            | 1012     | nvlink_rx_bytes                                      |
| A.0            | 1013     | tensor_imma_active                                   |
| A.0            | 1014     | tensor_hmma_active                                   |
| A.0            | 1015     | tensor_dfma_active                                   |
| A.0            | 1016     | integer_active                                       |
| A.0            | 1017     | nvdec0_active                                        |
| A.0            | 1018     | nvdec1_active                                        |
| A.0            | 1019     | nvdec2_active                                        |
| A.0            | 1020     | nvdec3_active                                        |
| A.0            | 1021     | nvdec4_active                                        |
| A.0            | 1022     | nvdec5_active                                        |
| A.0            | 1023     | nvdec6_active                                        |
| A.0            | 1024     | nvdec7_active                                        |
| A.0            | 1025     | nvjpg0_active                                        |
| A.0            | 1026     | nvjpg1_active                                        |
| A.0            | 1027     | nvjpg2_active                                        |
| A.0            | 1028     | nvjpg3_active                                        |
| A.0            | 1029     | nvjpg4_active                                        |
| A.0            | 1030     | nvjpg5_active                                        |
| A.0            | 1031     | nvjpg6_active                                        |
| A.0            | 1032     | nvjpg7_active                                        |
| A.0            | 1033     | nvofa0_active                                        |
| A.0            | 1034     | nvofa1_active                                        |
| B.0            | 1040     | nvlink_l0_tx_bytes                                   |
| B.0            | 1041     | nvlink_l0_rx_bytes                                   |
| B.0            | 1042     | nvlink_l1_tx_bytes                                   |
| B.0            | 1043     | nvlink_l1_rx_bytes                                   |
| B.0            | 1044     | nvlink_l2_tx_bytes                                   |
| B.0            | 1045     | nvlink_l2_rx_bytes                                   |
| B.0            | 1046     | nvlink_l3_tx_bytes                                   |
| B.0            | 1047     | nvlink_l3_rx_bytes                                   |
| B.0            | 1048     | nvlink_l4_tx_bytes                                   |
| B.0            | 1049     | nvlink_l4_rx_bytes                                   |
| B.0            | 1050     | nvlink_l5_tx_bytes                                   |
| B.0            | 1051     | nvlink_l5_rx_bytes                                   |
| B.0            | 1052     | nvlink_l6_tx_bytes                                   |
| B.0            | 1053     | nvlink_l6_rx_bytes                                   |
| B.0            | 1054     | nvlink_l7_tx_bytes                                   |
| B.0            | 1055     | nvlink_l7_rx_bytes                                   |
| B.0            | 1056     | nvlink_l8_tx_bytes                                   |
| B.0            | 1057     | nvlink_l8_rx_bytes                                   |
| B.0            | 1058     | nvlink_l9_tx_bytes                                   |
| B.0            | 1059     | nvlink_l9_rx_bytes                                   |
| B.0            | 1060     | nvlink_l10_tx_bytes                                  |
| B.0            | 1061     | nvlink_l10_rx_bytes                                  |
| B.0            | 1062     | nvlink_l11_tx_bytes                                  |
| B.0            | 1063     | nvlink_l11_rx_bytes                                  |
| B.0            | 1064     | nvlink_l12_tx_bytes                                  |
| B.0            | 1065     | nvlink_l12_rx_bytes                                  |
| B.0            | 1066     | nvlink_l13_tx_bytes                                  |
| B.0            | 1067     | nvlink_l13_rx_bytes                                  |
| B.0            | 1068     | nvlink_l14_tx_bytes                                  |
| B.0            | 1069     | nvlink_l14_rx_bytes                                  |
| B.0            | 1070     | nvlink_l15_tx_bytes                                  |
| B.0            | 1071     | nvlink_l15_rx_bytes                                  |
| B.0            | 1072     | nvlink_l16_tx_bytes                                  |
| B.0            | 1073     | nvlink_l16_rx_bytes                                  |
| B.0            | 1074     | nvlink_l17_tx_bytes                                  |
| B.0            | 1075     | nvlink_l17_rx_bytes                                  |
| B.0            | 1076     | c2c_tx_all_bytes                                     |
| B.0            | 1077     | c2c_tx_data_bytes                                    |
| B.0            | 1078     | c2c_rx_all_bytes                                     |
| B.0            | 1079     | c2c_rx_data_bytes                                    |
| B.0            | 1080     | hostmem_cache_hit                                    |
| B.0            | 1081     | hostmem_cache_miss                                   |
| B.0            | 1082     | peermem_cache_hit                                    |
| B.0            | 1083     | peermem_cache_miss                                   |
| B.0            | 1532     | nvlink_tx_bytes_per_link                             |
| B.0            | 1533     | nvlink_rx_bytes_per_link                             |
| C.0            | 1084     | sm_cycles_elapsed                                    |
| C.0            | 1085     | sm_cycles_active                                     |
| C.0            | 1086     | mma_cycles_active                                    |
| C.0            | 1087     | dmma_cycles_active                                   |
| C.0            | 1088     | hmma_cycles_active                                   |
| C.0            | 1089     | imma_cycles_active                                   |
| C.0            | 1090     | dfma_cycles_active                                   |
| C.0            | 1091     | pcie_tx_bytes_total                                  |
| C.0            | 1092     | pcie_rx_bytes_total                                  |
| C.0            | 1093     | integer_cycles_active                                |
| C.0            | 1094     | fp64_cycles_active                                   |
| C.0            | 1095     | fp32_cycles_active                                   |
| C.0            | 1096     | fp16_cycles_active                                   |
+----------------+----------+------------------------------------------------------+
